MathVersion = 1.2.9.0
Played Line = 40, LineBet = 480, Total Bet = 480
Total Round = 1000000000, Total Win = 460921086960, Total Free Game Round = 87191565

Total RTP = 96.025%, Base Game RTP = 59.455%, 
Free Game RTP = 36.570%, Bonus Game RTP = 0.000%
BG Hits = 28.925%, FG Hits = 51.994%, FG Freq = 124.661, BN Freq = ∞

C.V. = 8.2057
MaxSpinWin = 1483.375
EGS_BASE_GAME_1: 665.125; RNG = {36, 46, 10, 67, 12 }
EGS_FREE_GAME_1: 1347; RNG = {31, 18, 10, 67, 32 }


Hits 	           3 	           4 	           5 	
   W 	           0 	           0 	           0 	
  H1 	    10350731 	     3420724 	      562316 	
  H2 	    34192479 	     7713622 	     1145112 	
  H3 	    89034342 	    27755356 	      670654 	
  H4 	    26466046 	     9247857 	      704095 	
  H5 	           0 	           0 	           0 	
  H6 	           0 	           0 	           0 	
  N1 	    70735697 	    28017550 	      674007 	
  N2 	    63167012 	    25060554 	      915527 	
  N3 	    80818509 	    29300781 	     1830447 	
  N4 	   173388290 	    39904299 	     6557593 	
  N5 	   271298371 	    47522303 	     9368010 	
  N6 	   227880865 	    38236332 	     8863805 	
   F 	     7617827 	      395880 	        8030 	
   B 	           0 	           0 	           0 	

Wins 	           3 	           4 	           5 	
   W 	           0 	           0 	           0 	
  H1 	  3538510200 	  9882904800 	  8118816000 	
  H2 	  9353500080 	 19477319400 	  7705540800 	
  H3 	 16228649520 	 35306700000 	  2133819000 	
  H4 	  4763888280 	 11909000400 	  1812026400 	
  H5 	           0 	           0 	           0 	
  H6 	           0 	           0 	           0 	
  N1 	  9625380360 	 12148499520 	  1217013000 	
  N2 	  7668006480 	  9190297440 	  1399090500 	
  N3 	  5068555500 	  7405170240 	  2312198400 	
  N4 	 10501560840 	  9759891120 	  8019658800 	
  N5 	 18872480700 	  9918842940 	 10429249920 	
  N6 	 14781614700 	  7527903840 	  9308353920 	
   F 	161925020760 	 13015094340 	   596528760 	
   B 	           0 	           0 	           0 	

Hits 	           3 	           4 	           5 	
   W 	           0 	           0 	           0 	
  H1 	     3410636 	      854762 	      721802 	
  H2 	    13454522 	     2291812 	     2367756 	
  H3 	    31779985 	     7774637 	     5546194 	
  H4 	    10333432 	     2678951 	     2344225 	
  H5 	           0 	           0 	           0 	
  H6 	           0 	           0 	           0 	
  N1 	    16813557 	     4989765 	     3316505 	
  N2 	    19103775 	     5816421 	     3939710 	
  N3 	    32278702 	     8341192 	     7181522 	
  N4 	    41594659 	     7766575 	     6357566 	
  N5 	    49184173 	     7257001 	     7146634 	
  N6 	    44239902 	     6363929 	     6466838 	
   F 	      456328 	       20146 	         355 	
   B 	           0 	           0 	           0 	

Wins 	           3 	           4 	           5 	
   W 	           0 	           0 	           0 	
  H1 	  1176075600 	  2347113600 	 11211516000 	
  H2 	  3800759280 	  5644558800 	 16317878400 	
  H3 	  6041199240 	 10064836800 	 18667761000 	
  H4 	  2225384460 	  3948798000 	  7396653600 	
  H5 	           0 	           0 	           0 	
  H6 	           0 	           0 	           0 	
  N1 	  2109075360 	  2043728640 	  5661849000 	
  N2 	  2754051840 	  2547151200 	  7409692500 	
  N3 	  2003928120 	  2118455280 	  9202840800 	
  N4 	  2926227120 	  2226576720 	  9786385200 	
  N5 	  3772649280 	  1559565360 	  9356661120 	
  N6 	  3163767240 	  1318099500 	  7782513600 	
   F 	   438074880 	    48350400 	     8520000 	
   B 	           0 	           0 	           0 	

Pay  	   3 	   4 	   5 	
   W 	   0 	   0 	   0 	
  H1 	  25 	 200 	1000 	
  H2 	  20 	 150 	 400 	
  H3 	  15 	 100 	 250 	
  H4 	  15 	 100 	 200 	
  H5 	   0 	   0 	   0 	
  H6 	   0 	   0 	   0 	
  N1 	  10 	  30 	 125 	
  N2 	  10 	  30 	 125 	
  N3 	   5 	  20 	 100 	
  N4 	   5 	  20 	 100 	
  N5 	   5 	  15 	  80 	
  N6 	   5 	  15 	  80 	
   F 	   2 	   5 	  50 	
   B 	   0 	   0 	   0 	

Round 	     3 	     4 	     5 	
    F 	10.592 	15.886 	26.535 	

Line Hits 	     3 	     4 	     5 	
        1 	 2.63% 	 0.65% 	 0.08% 	
        2 	 2.59% 	 0.64% 	 0.08% 	
        3 	 2.66% 	 0.64% 	 0.08% 	
        4 	 2.60% 	 0.63% 	 0.08% 	
        5 	 2.62% 	 0.64% 	 0.08% 	
        6 	 2.58% 	 0.63% 	 0.08% 	
        7 	 2.67% 	 0.65% 	 0.08% 	
        8 	 2.61% 	 0.65% 	 0.08% 	
        9 	 2.57% 	 0.63% 	 0.08% 	
       10 	 2.62% 	 0.64% 	 0.08% 	
       11 	 2.63% 	 0.64% 	 0.08% 	
       12 	 2.59% 	 0.64% 	 0.08% 	
       13 	 2.65% 	 0.64% 	 0.08% 	
       14 	 2.59% 	 0.64% 	 0.08% 	
       15 	 2.67% 	 0.65% 	 0.08% 	
       16 	 2.61% 	 0.64% 	 0.08% 	
       17 	 2.64% 	 0.65% 	 0.08% 	
       18 	 2.58% 	 0.64% 	 0.08% 	
       19 	 2.65% 	 0.64% 	 0.08% 	
       20 	 2.59% 	 0.64% 	 0.08% 	
       21 	 2.67% 	 0.65% 	 0.08% 	
       22 	 2.61% 	 0.65% 	 0.08% 	
       23 	 2.65% 	 0.64% 	 0.08% 	
       24 	 2.59% 	 0.64% 	 0.08% 	
       25 	 2.67% 	 0.65% 	 0.08% 	
       26 	 2.61% 	 0.65% 	 0.08% 	
       27 	 2.64% 	 0.65% 	 0.08% 	
       28 	 2.59% 	 0.64% 	 0.08% 	
       29 	 2.66% 	 0.64% 	 0.08% 	
       30 	 2.60% 	 0.64% 	 0.08% 	
       31 	 2.62% 	 0.64% 	 0.08% 	
