MathVersion = 1.2.10.0
Played Line = 40, LineBet = 480, Total Bet = 480
Total Round = 1000000000, Total Win = 461398466940, Total Free Game Round = 64698408

Total RTP = 96.125%, Base Game RTP = 62.253%, 
Free Game RTP = 33.872%, Bonus Game RTP = 0.000%
BG Hits = 23.923%, FG Hits = 28.377%, FG Freq = 135.007, BN Freq = ∞

C.V. = 8.6511
MaxSpinWin = 1641.5
EGS_BASE_GAME_1: 300; RNG = {52, 5, 2, 2, 24 }
EGS_FREE_GAME_1: 500; RNG = {38, 47, 28, 18, 32 }


Hits 	           3 	           4 	           5 	
   W 	     4740187 	       81770 	      219852 	
  H1 	    95476644 	     6174078 	     3632634 	
  H2 	   152047662 	     9202154 	     6011327 	
  H3 	   112969676 	    12908408 	     7397539 	
  H4 	   105028372 	     9397728 	     6713253 	
  H5 	    51908935 	     3602596 	     2047667 	
  H6 	           0 	           0 	           0 	
  N1 	   330043903 	    27416233 	    12107053 	
  N2 	   279444017 	    25029868 	    15276990 	
  N3 	   181862060 	    16546625 	     9811881 	
  N4 	   144233823 	    15736208 	     8931623 	
  N5 	    88826292 	    12548178 	     7818256 	
  N6 	           0 	           0 	           0 	
   F 	     7407008 	           0 	           0 	
   B 	           0 	           0 	           0 	

Wins 	           3 	           4 	           5 	
   W 	  1706467320 	    98124000 	  1319112000 	
  H1 	 22914394560 	  5927114880 	 13077482400 	
  H2 	 36491438880 	  6625550880 	 14427184800 	
  H3 	 13556361120 	  7745044800 	 13315570200 	
  H4 	 12603404640 	  4510909440 	  9667084320 	
  H5 	  6229072200 	  1296934560 	  2457200400 	
  H6 	           0 	           0 	           0 	
  N1 	 19802634180 	  6579895920 	 11622770880 	
  N2 	 16766641020 	  6007168320 	 14665910400 	
  N3 	 10911723600 	  1985595000 	  7064554320 	
  N4 	  8654029380 	  1888344960 	  6430768560 	
  N5 	  5329577520 	  1505781360 	  5629144320 	
  N6 	           0 	           0 	           0 	
   F 	162585475800 	           0 	           0 	
   B 	           0 	           0 	           0 	

Hits 	           3 	           4 	           5 	
   W 	      987992 	         135 	     4631047 	
  H1 	     7576993 	       66533 	     4873311 	
  H2 	    11265520 	       31611 	     4525151 	
  H3 	    12597097 	      104854 	     7288910 	
  H4 	    13109025 	      274090 	     9039131 	
  H5 	    17061161 	      190517 	     7922533 	
  H6 	           0 	           0 	           0 	
  N1 	    27302372 	      409532 	    12147924 	
  N2 	    47432935 	      310810 	    16058147 	
  N3 	     8950462 	       98758 	     5557330 	
  N4 	    23740622 	      511884 	    12344710 	
  N5 	     9602813 	      128315 	     7468418 	
  N6 	           0 	           0 	           0 	
   F 	      680293 	           0 	           0 	
   B 	           0 	           0 	           0 	

Wins 	           3 	           4 	           5 	
   W 	   355677120 	      162000 	 27786282000 	
  H1 	  1818478320 	    63871680 	 17543919600 	
  H2 	  2703724800 	    22759920 	 10860362400 	
  H3 	  1511651640 	    62912400 	 13120038000 	
  H4 	  1573083000 	   131563200 	 13016348640 	
  H5 	  2047339320 	    68586120 	  9507039600 	
  H6 	           0 	           0 	           0 	
  N1 	  1638142320 	    98287680 	 11662007040 	
  N2 	  2845976100 	    74594400 	 15415821120 	
  N3 	   537027720 	    11850960 	  4001277600 	
  N4 	  1424437320 	    61426080 	  8888191200 	
  N5 	   576168780 	    15397800 	  5377260960 	
  N6 	           0 	           0 	           0 	
   F 	   653081280 	           0 	           0 	
   B 	           0 	           0 	           0 	

Pay  	   3 	   4 	   5 	
   W 	  30 	 100 	 500 	
  H1 	  20 	  80 	 300 	
  H2 	  20 	  60 	 200 	
  H3 	  10 	  50 	 150 	
  H4 	  10 	  40 	 120 	
  H5 	  10 	  30 	 100 	
  H6 	   0 	   0 	   0 	
  N1 	   5 	  20 	  80 	
  N2 	   5 	  20 	  80 	
  N3 	   5 	  10 	  60 	
  N4 	   5 	  10 	  60 	
  N5 	   5 	  10 	  60 	
  N6 	   0 	   0 	   0 	
   F 	   2 	   0 	   0 	
   B 	   0 	   0 	   0 	

Round 	     3 	     4 	     5 	
    F 	 8.735 	   非數值 	   非數值 	

Line Hits 	     3 	     4 	     5 	
        1 	 3.85% 	 0.35% 	 0.20% 	
        2 	 3.86% 	 0.35% 	 0.20% 	
        3 	 3.85% 	 0.35% 	 0.20% 	
        4 	 3.85% 	 0.35% 	 0.20% 	
